id,item,conditions,expectancy,particle,start_sentence,R_expression,particle_used,original particle,unexpectedUnfair,selection,continutations_indices,checkbox
67f7b1c8ae6a9,3,3,high,OH,Tims Volvo,Tims Volvo,ohne,ohne,unexpected  and unfair,cont1,"[3, 2, 1]",
67f7b1c8ae6a9,2,4,medium,RA,Auch heute,heute,auch,auch,unexpected,cont1,"[1, 3, 2]",
67f7b1c8ae6a9,12,3,high,OH,Lisa,Lisa,ohne,ohne,unexpected,cont3,"[2, 3, 1]",
67f7b1c8ae6a9,13,2,high,EW,Gerade Jonas,Jonas ,gerade,gerade,unexpected,cont2,"[2, 3, 1]",
67f7b1c8ae6a9,101,dummy,medium,dummy,Lola,dummy,dummy,dummy,dummy,cont1,"[2, 1, 3]",
67f7b1c8ae6a9,18,4,medium,RA,Nur Christian,Christian,nur,nur,unexpected,cont1,"[1, 2, 3]",
67f7b1c8ae6a9,8,6,medium,OH,Moritz ,Moritz,ohne,ohne ,unexpected,cont1,"[2, 1, 3]",
67f7b1c8ae6a9,6,1,high,RA,Auch Nadja,Nadja,auch,auch,unexpected,cont3,"[3, 2, 1]",
67f7b1c8ae6a9,102,dummy,high,dummy,Die Niederlande,dummy,dummy,dummy,dummy,cont1,"[3, 2, 1]",
67f7b1c8ae6a9,25,6,medium,OH,Simon,Simon,ohne,ohne,unexpected,cont3,"[1, 3, 2]",
67f7b1c8ae6a9,14,1,high,RA,Nur an diesem Tag,an diesem Tag,bloß,bloß,unexpected,cont1,"[2, 1, 3]",
67f7b1c8ae6a9,1,5,medium,EW,Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,cont3,"[3, 1, 2]",
67f7b1c8ae6a9,28,4,medium,RA,Sogar er ,er,sogar,sogar,unexpected,cont1,"[1, 2, 3]",
67f7b1c8ae6a9,103,dummy,medium,dummy,Ruth wird vielleicht,dummy,dummy,dummy,dummy,cont3,"[2, 3, 1]",
67f7b1c8ae6a9,105,dummy,medium,dummy,Sie wird vielleicht,dummy,dummy,dummy,dummy,cont3,"[2, 3, 1]",
67f7b1c8ae6a9,106,dummy,high,dummy,Er wird vielleicht,dummy,dummy,dummy,dummy,cont2,"[1, 2, 3]",
67f7b1c8ae6a9,9,5,medium,EW,Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unexpected,cont3,"[3, 1, 2]",
67f7b1c8ae6a9,30,2,high,EW,Gerade heute ,heute ,gerade,gerade,unexpected and unfair,cont2,"[3, 2, 1]",
67f7b1c8ae6a9,24,1,high,RA,Auch Robert,Robert,auch,auch,unexpected,cont2,"[2, 1, 3]",
67f7b1c8ae6a9,17,5,medium,EW,Ausgerechnet diese Münze,diese Münze,ausgerechnet,ausgerechnet,unexpected,cont1,"[2, 1, 3]",
67f7b1c8ae6a9,107,dummy,medium,dummy,Sie werden vielleicht,dummy,dummy,dummy,dummy,cont2,"[3, 1, 2]",
67f7b1c8ae6a9,29,3,high,OH,Sein neues Handy,sein neues Handy,ohne,ohne,unexpected and unfair,cont3,"[2, 3, 1]",
67f7b1c8ae6a9,11,4,medium,RA,Erst dann,dann,erst,erst,unexpected,cont3,"[3, 2, 1]",
67f7b1c8ae6a9,32,1,high,RA,Auch diese Tabletten,diese Tabletten,auch ,auch,unexpected and unfair,cont2,"[2, 1, 3]",
67f7b1c8ae6a9,15,6,medium,OH,Dann,dann,ohne,ohne,unexpected,cont3,"[1, 3, 2]",
67f7b1c8ae6a9,21,3,high,OH,Heute,heute ,ohne,ohne ,unexpected,cont3,"[1, 2, 3]",
67f7b1c8ae6a9,33,6,medium,OH,Dieser Podcast,diese Podcast,ohne,ohne,unexpected,cont2,"[2, 1, 3]",
67f7b1c8ae6a9,104,dummy,high,dummy,Lukas wird vielleicht,dummy,dummy,dummy,dummy,cont2,"[3, 1, 2]",
67f7b1c8ae6a9,23,2,high,EW,Gerade jetzt,jetzt,gerade,gerade,unfair,cont3,"[1, 2, 3]",
67f7b1c8ae6a9,16,5,medium,EW,Eben diese Woche,diese Woche,eben,eben,unexpected,cont1,"[3, 2, 1]",
67f7b1c8ae6a9,4,2,high,EW,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,cont1,"[2, 1, 3]",
67f7b1c8ae6a9,108,dummy,high,dummy,Er wird vielleicht,dummy,dummy,dummy,dummy,cont1,"[2, 3, 1]",
67f7b22fc3cb8,1,5,medium,EW,Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,cont1,"[2, 3, 1]",
67f7b22fc3cb8,11,4,medium,RA,Erst dann,dann,erst,erst,unexpected,cont1,"[3, 2, 1]",
